"cnty"	"dist"	"schl"	"cntyname"	"distname"	"schlname"	"DFG"	"ttltstd"	"ttlpapnum"	"percpass"	"percpassdfg"	"diff"
"01"	"1410"	"050"	"ATLANTIC  "	"ESTELL MANOR CITY"	"ESTELL MANOR ELEM SCH    "	"DE"	287.00	234.01	81.53	75.81	5.72
"01"	"1540"	"   "	"ATLANTIC  "	"FOLSOM BORO"	""	"CD"	611.00	417.98	68.40	68.63	-0.22
"01"	"1540"	"050"	"ATLANTIC  "	"FOLSOM BORO"	"FOLSOM                   "	"CD"	611.00	417.98	68.40	68.63	-0.22
"01"	"1690"	"   "	"ATLANTIC  "	"GALLOWAY TWP"	""	"CD"	5025.00	3478.79	69.22	68.63	0.59
"01"	"1690"	"015"	"ATLANTIC  "	"GALLOWAY TWP"	"ARTHUR RANN ELEM SCHOOL  "	"CD"	887.00	657.81	74.16	68.63	5.52
"01"	"1690"	"016"	"ATLANTIC  "	"GALLOWAY TWP"	"GALLOWAY TWP MIDDLE SCH  "	"CD"	1636.00	1112.41	67.99	68.63	-0.64
"01"	"1690"	"045"	"ATLANTIC  "	"GALLOWAY TWP"	"REEDS ROAD ELEM SCH      "	"CD"	876.00	621.87	70.98	68.63	2.35
"01"	"1690"	"046"	"ATLANTIC  "	"GALLOWAY TWP"	"ROLAND ROGERS ELEM SCH   "	"CD"	698.00	474.17	67.93	68.63	-0.70
"01"	"1690"	"048"	"ATLANTIC  "	"GALLOWAY TWP"	"SMITHVILLE ELEM SCHOOL   "	"CD"	928.00	612.04	65.95	68.63	-2.68
"01"	"1790"	"   "	"ATLANTIC"	"GREATER EGG HARBOR REGION"	""	"CD"	1750.00	1471.75	84.10	68.63	15.46
"01"	"1790"	"040"	"ATLANTIC"	"GREATER EGG HARBOR REGION"	"ABSEGAMI H.S."	"CD"	898.00	782.15	87.10	68.63	18.46
"01"	"1790"	"050"	"ATLANTIC"	"GREATER EGG HARBOR REGION"	"OAKCREST H.S."	"CD"	528.00	424.77	80.45	68.63	11.81
"01"	"1790"	"060"	"ATLANTIC"	"GREATER EGG HARBOR REGION"	"CEDAR CREEK HS"	"CD"	324.00	265.03	81.80	68.63	13.16
"01"	"1940"	"   "	"ATLANTIC  "	"HAMILTON TWP"	""	"CD"	4279.00	2975.85	69.54	68.63	0.90
"01"	"1940"	"055"	"ATLANTIC  "	"HAMILTON TWP"	"GEORGE L HESS EDUC COMP  "	"CD"	2276.00	1635.75	71.86	68.63	3.23
"01"	"1940"	"120"	"ATLANTIC  "	"HAMILTON TWP"	"WILLIAM DAVIES MIDDLE SCH"	"CD"	1999.00	1340.01	67.03	68.63	-1.60
"01"	"1960"	"   "	"ATLANTIC"	"HAMMONTON TOWN"	""	"B "	3650.00	2583.29	70.77	63.76	7.00
"01"	"1960"	"050"	"ATLANTIC"	"HAMMONTON TOWN"	"HAMMONTON H.S."	"B "	702.00	584.18	83.21	63.76	19.44
"01"	"1960"	"055"	"ATLANTIC  "	"HAMMONTON TOWN"	"WARREN E SOOY JR-ELEM SCH"	"B "	1303.00	887.17	68.08	63.76	4.31
"01"	"1960"	"060"	"ATLANTIC  "	"HAMMONTON TOWN"	"HAMMONTON MIDDLE SCH     "	"B "	1635.00	1106.88	67.69	63.76	3.93
"01"	"2680"	"   "	"ATLANTIC  "	"LINWOOD CITY"	""	"GH"	1341.00	1195.07	89.11	82.71	6.40
"01"	"2680"	"020"	"ATLANTIC  "	"LINWOOD CITY"	"BELHAVEN MIDDLE SCH      "	"GH"	851.00	751.08	88.25	82.71	5.54
"01"	"2680"	"050"	"ATLANTIC  "	"LINWOOD CITY"	"SEAVIEW E.S. "	"GH"	490.00	443.99	90.61	82.71	7.89
"01"	"2910"	"   "	"ATLANTIC"	"MAINLAND REGIONAL"	""	"DE"	725.00	661.87	91.29	75.81	15.47
"01"	"2910"	"050"	"ATLANTIC"	"MAINLAND REGIONAL"	"MAINLAND REGIONAL"	"DE"	725.00	661.87	91.29	75.81	15.47
"01"	"3020"	"   "	"ATLANTIC  "	"MARGATE CITY"	""	"DE"	764.00	655.09	85.74	75.81	9.93
"01"	"3020"	"010"	"ATLANTIC  "	"MARGATE CITY"	"EUGENE A TIGHE MID SCH   "	"DE"	480.00	407.99	84.99	75.81	9.18
"01"	"3020"	"025"	"ATLANTIC  "	"MARGATE CITY"	"WILLIAM H ROSS III INT SC"	"DE"	284.00	247.09	87.00	75.81	11.19
"01"	"3480"	"   "	"ATLANTIC  "	"MULLICA TWP"	""	"B "	959.00	734.96	76.63	63.76	12.86
"01"	"3480"	"020"	"ATLANTIC  "	"MULLICA TWP"	"MULLICA TWP PRIMARY SCHOOL "	"B "	361.00	274.03	75.91	63.76	12.14
"01"	"3480"	"025"	"ATLANTIC  "	"MULLICA TWP"	"MULLICA TWP MIDDLE       "	"B "	598.00	460.92	77.07	63.76	13.30
"01"	"3720"	"   "	"ATLANTIC  "	"NORTHFIELD CITY"	""	"DE"	1513.00	1156.28	76.42	75.81	0.60
"01"	"3720"	"056"	"ATLANTIC  "	"NORTHFIELD CITY"	"NORTHFIELD COMMUNITY M S "	"DE"	960.00	745.24	77.62	75.81	1.81
"01"	"3720"	"057"	"ATLANTIC  "	"NORTHFIELD CITY"	"NORTHFIELD COMMUNITY E.S. "	"DE"	553.00	411.03	74.32	75.81	-1.48
"01"	"4180"	"   "	"ATLANTIC"	"PLEASANTVILLE"	""	"A "	3415.00	1700.80	49.80	51.53	-1.73
"01"	"4180"	"050"	"ATLANTIC"	"PLEASANTVILLE"	"PLEASANTVILLE H.S."	"A "	425.00	225.94	53.16	51.53	1.62
"01"	"4180"	"055"	"ATLANTIC  "	"PLEASANTVILLE"	"PLEASANTVILLE MIDDLE SCH "	"A "	1251.00	507.99	40.60	51.53	-10.92
"01"	"4180"	"060"	"ATLANTIC  "	"PLEASANTVILLE"	"WASHINGTON AVENUE ELEM."	"A "	370.00	179.07	48.39	51.53	-3.13
"01"	"4180"	"080"	"ATLANTIC  "	"PLEASANTVILLE"	"LEEDS AVENUE ELEM."	"A "	443.00	284.00	64.10	51.53	12.57
"01"	"4180"	"085"	"ATLANTIC  "	"PLEASANTVILLE"	"NORTH MAIN STREET ELEM."	"A "	305.00	153.98	50.48	51.53	-1.04
"01"	"4180"	"095"	"ATLANTIC  "	"PLEASANTVILLE"	"SOUTH MAIN STREET ELEM."	"A "	621.00	350.02	56.36	51.53	4.82
"01"	"4240"	"   "	"ATLANTIC  "	"PORT REPUBLIC CITY"	""	"FG"	128.00	108.98	85.14	78.80	6.34
"01"	"4240"	"050"	"ATLANTIC  "	"PORT REPUBLIC CITY"	"PORT REPUBLIC ELEM SCH   "	"FG"	128.00	108.98	85.14	78.80	6.34
"01"	"4800"	"   "	"ATLANTIC  "	"SOMERS POINT CITY"	""	"CD"	1389.00	729.09	52.49	68.63	-16.14
"01"	"4800"	"050"	"ATLANTIC  "	"SOMERS POINT CITY"	"DAWES AVE ELEM SCH       "	"CD"	415.00	191.98	46.26	68.63	-22.37
"01"	"4800"	"055"	"ATLANTIC  "	"SOMERS POINT CITY"	"JORDAN RD ELEM SCH       "	"CD"	972.00	537.03	55.25	68.63	-13.38
"01"	"5350"	"   "	"ATLANTIC  "	"VENTNOR CITY"	""	"B "	1255.00	819.01	65.25	63.76	1.49
"01"	"5350"	"040"	"ATLANTIC  "	"VENTNOR CITY"	"VENTNOR MIDDLE SCHOOL    "	"B "	801.00	540.07	67.42	63.76	3.65
"01"	"5350"	"045"	"ATLANTIC  "	"VENTNOR CITY"	"VENTOR E.S. "	"B "	448.00	279.00	62.27	63.76	-1.49
"01"	"5760"	"   "	"ATLANTIC  "	"WEYMOUTH TWP"	""	"B "	285.00	213.05	74.75	63.76	10.98
"01"	"5760"	"020"	"ATLANTIC  "	"WEYMOUTH TWP"	"WEYMOUTH TWP ELEM        "	"B "	285.00	213.05	74.75	63.76	10.98
"03"	"0040"	"   "	"BERGEN    "	"ALLENDALE BORO"	""	"I "	1379.00	1269.81	92.08	87.55	4.52
"03"	"0040"	"010"	"BERGEN    "	"ALLENDALE BORO"	"BROOKSIDE                "	"I "	1186.00	1086.91	91.64	87.55	4.09
"03"	"0040"	"020"	"BERGEN    "	"ALLENDALE BORO"	"HILLSIDE E.S. "	"I "	193.00	182.89	94.76	87.55	7.21
"03"	"0080"	"   "	"BERGEN    "	"ALPINE BORO"	""	"I "	172.00	167.00	97.09	87.55	9.54
"03"	"0080"	"010"	"BERGEN    "	"ALPINE BORO"	"ALPINE ELEM              "	"I "	172.00	167.00	97.09	87.55	9.54
"03"	"0290"	"   "	"BERGEN    "	"BERGEN COUNTY TECHNICAL S"	""	"V "	972.00	910.27	93.65	87.99	5.65
"03"	"0290"	"020"	"BERGEN    "	"BERGEN COUNTY TECHNICAL S"	"BERGEN COUNTY ACADEMIES"	"V "	510.00	510.00	100.00	87.99	12.00
"03"	"0290"	"030"	"BERGEN    "	"BERGEN COUNTY TECHNICAL S"	"BERGEN COUNTY VOCATIONAL HIGH"	"V "	152.00	91.04	59.90	87.99	-28.09
"03"	"0290"	"070"	"BERGEN    "	"BERGEN COUNTY TECHNICAL S"	"BERGEN COUNTY TECHNICAL"	"V "	310.00	308.91	99.65	87.99	11.65
"03"	"0300"	"   "	"BERGEN    "	"BERGENFIELD"	""	"FG"	3880.00	3118.25	80.36	78.80	1.56
"03"	"0300"	"020"	"BERGEN    "	"BERGENFIELD"	"BERGENFIELD H.S."	"FG"	630.00	563.85	89.50	78.80	10.69
"03"	"0300"	"040"	"BERGEN    "	"BERGENFIELD"	"FRANKLIN                 "	"FG"	370.00	339.97	91.88	78.80	13.08
"03"	"0300"	"050"	"BERGEN    "	"BERGENFIELD"	"HOOVER                   "	"FG"	265.00	196.01	73.96	78.80	-4.83
"03"	"0300"	"060"	"BERGEN    "	"BERGENFIELD"	"JEFFERSON                "	"FG"	259.00	227.98	88.02	78.80	9.22
"03"	"0300"	"070"	"BERGEN    "	"BERGENFIELD"	"LINCOLN                  "	"FG"	305.00	265.98	87.20	78.80	8.40
"03"	"0300"	"075"	"BERGEN    "	"BERGENFIELD"	"ROY W BROWN MIDDLE       "	"FG"	1695.00	1255.32	74.06	78.80	-4.74
"03"	"0300"	"080"	"BERGEN    "	"BERGENFIELD"	"WASHINGTON               "	"FG"	356.00	269.02	75.56	78.80	-3.23
"03"	"0440"	"   "	"BERGEN    "	"BOGOTA"	""	"DE"	1350.00	934.16	69.19	75.81	-6.61
"03"	"0440"	"020"	"BERGEN    "	"BOGOTA"	"BOGOTA HIGH              "	"DE"	384.00	239.00	62.24	75.81	-13.57
"03"	"0440"	"020"	"BERGEN    "	"BOGOTA"	"BOGOTA HIGH SCHOOL"	"DE"	196.00	162.09	82.70	75.81	6.88
"03"	"0440"	"030"	"BERGEN    "	"BOGOTA"	"E. ROY BIXBY             "	"DE"	384.00	279.94	72.90	75.81	-2.91
"03"	"0440"	"050"	"BERGEN    "	"BOGOTA"	"LILLIAN M. STEEN         "	"DE"	384.00	251.97	65.61	75.81	-10.19
"03"	"0740"	"   "	"BERGEN    "	"CARLSTADT BORO"	""	"DE"	837.00	607.98	72.63	75.81	-3.17
"03"	"0740"	"050"	"BERGEN    "	"CARLSTADT BORO"	"CARLSTADT"	"DE"	837.00	607.98	72.63	75.81	-3.17
"03"	"0745"	"   "	"BERGEN    "	"CARLSTADT-EAST RUTHERFORD"	""	"CD"	238.00	195.99	82.35	68.63	13.71
"03"	"0745"	"050"	"BERGEN    "	"CARLSTADT-EAST RUTHERFORD"	"HENRY P. BECTON REGIONAL"	"CD"	238.00	195.99	82.35	68.63	13.71
"03"	"0890"	"   "	"BERGEN    "	"CLIFFSIDE PARK"	""	"B "	2617.00	1949.22	74.48	63.76	10.71
"03"	"0890"	"030"	"BERGEN    "	"CLIFFSIDE PARK"	"CLIFFSIDE PARK H.S."	"B "	427.00	342.94	80.31	63.76	16.54
"03"	"0890"	"050"	"BERGEN    "	"CLIFFSIDE PARK"	"NUMBER 3                 "	"B "	398.00	303.98	76.37	63.76	12.60
"03"	"0890"	"060"	"BERGEN    "	"CLIFFSIDE PARK"	"NUMBER 4                 "	"B "	401.00	318.03	79.31	63.76	15.54
"03"	"0890"	"070"	"BERGEN    "	"CLIFFSIDE PARK"	"NUMBER 5                 "	"B "	271.00	173.95	64.18	63.76	0.41
"03"	"0890"	"080"	"BERGEN    "	"CLIFFSIDE PARK"	"NUMBER 6                 "	"B "	1120.00	810.21	72.34	63.76	8.57
"03"	"0930"	"   "	"BERGEN    "	"CLOSTER BORO"	""	"I "	1714.00	1568.94	91.53	87.55	3.98
"03"	"0930"	"050"	"BERGEN    "	"CLOSTER BORO"	"HILLSIDE ELEMENTARY SCHOOL "	"I "	589.00	563.01	95.58	87.55	8.03
"03"	"0930"	"060"	"BERGEN    "	"CLOSTER BORO"	"TENAKILL M.S.            "	"I "	1121.00	1006.07	89.74	87.55	2.19
"03"	"0990"	"   "	"BERGEN    "	"CRESSKILL"	""	"I "	1988.00	1795.15	90.29	87.55	2.74
"03"	"0990"	"040"	"BERGEN    "	"CRESSKILL"	"CRESSKILL H.S."	"I "	247.00	240.07	97.19	87.55	9.64
"03"	"0990"	"045"	"BERGEN    "	"CRESSKILL"	"CRESSKILL MIDDLE SCH "	"I "	823.00	706.95	85.90	87.55	-1.65
"03"	"0990"	"050"	"BERGEN    "	"CRESSKILL"	"EDWARD H. BRYAN          "	"I "	571.00	533.98	93.51	87.55	5.96
"03"	"0990"	"060"	"BERGEN    "	"CRESSKILL"	"MERRITT MEMORIAL         "	"I "	345.00	313.05	90.73	87.55	3.18
"03"	"1070"	"   "	"BERGEN    "	"DEMAREST BORO"	""	"I "	997.00	930.37	93.31	87.55	5.76
"03"	"1070"	"040"	"BERGEN    "	"DEMAREST BORO"	"DEMAREST MIDDLE          "	"I "	613.00	575.29	93.84	87.55	6.29
"03"	"1070"	"050"	"BERGEN    "	"DEMAREST BORO"	"LUTHER LEE EMERSON E.S. "	"I "	384.00	355.08	92.47	87.55	4.91
"03"	"1130"	"   "	"BERGEN    "	"DUMONT"	""	"FG"	3227.00	2793.70	86.57	78.80	7.77
"03"	"1130"	"040"	"BERGEN    "	"DUMONT"	"DUMONT HIGH SCHOOL"	"FG"	500.00	458.00	91.60	78.80	12.79
"03"	"1130"	"050"	"BERGEN    "	"DUMONT"	"GRANT                    "	"FG"	519.00	430.00	82.85	78.80	4.05
"03"	"1130"	"060"	"BERGEN    "	"DUMONT"	"HONISS                   "	"FG"	1140.00	975.20	85.54	78.80	6.74
"03"	"1130"	"070"	"BERGEN    "	"DUMONT"	"LINCOLN                  "	"FG"	242.00	211.05	87.21	78.80	8.41
"03"	"1130"	"080"	"BERGEN    "	"DUMONT"	"CHARLES A. SELZER        "	"FG"	826.00	720.18	87.18	78.80	8.38
"03"	"1230"	"   "	"BERGEN    "	"EAST RUTHERFORD BORO"	""	"CD"	1005.00	779.91	77.60	68.63	8.96
"03"	"1230"	"040"	"BERGEN    "	"EAST RUTHERFORD BORO"	"ALFRED S. FAUST          "	"CD"	591.00	436.02	73.77	68.63	5.13
"03"	"1230"	"080"	"BERGEN    "	"EAST RUTHERFORD BORO"	"MCKENZIE SCHOOL "	"CD"	414.00	343.89	83.06	68.63	14.42
"03"	"1270"	"   "	"BERGEN    "	"EDGEWATER BORO"	""	"DE"	702.00	591.87	84.31	75.81	8.49
"03"	"1270"	"050"	"BERGEN    "	"EDGEWATER BORO"	"ELEANOR VAN GELDER       "	"DE"	702.00	591.87	84.31	75.81	8.49
"03"	"1345"	"   "	"BERGEN    "	"ELMWOOD PARK"	""	"CD"	2761.00	1795.15	65.01	68.63	-3.62
"03"	"1345"	"050"	"BERGEN    "	"ELMWOOD PARK"	"MEMORIAL HIGH SCHOOL"	"CD"	339.00	257.00	75.81	68.63	7.17
"03"	"1345"	"060"	"BERGEN    "	"ELMWOOD PARK"	"MIDDLE SCHOOL            "	"CD"	1136.00	640.23	56.35	68.63	-12.28
"03"	"1345"	"070"	"BERGEN    "	"ELMWOOD PARK"	"GANTNER AVENUE           "	"CD"	436.00	307.03	70.41	68.63	1.78
"03"	"1345"	"080"	"BERGEN    "	"ELMWOOD PARK"	"GILBERT AVENUE           "	"CD"	402.00	278.02	69.16	68.63	0.52
"03"	"1345"	"090"	"BERGEN    "	"ELMWOOD PARK"	"SIXTEENTH AVENUE         "	"CD"	446.00	313.12	70.20	68.63	1.56
"03"	"1360"	"   "	"BERGEN    "	"EMERSON"	""	"GH"	1363.00	1178.70	86.47	82.71	3.76
"03"	"1360"	"050"	"BERGEN    "	"EMERSON"	"EMERSON JR SR HIGH       "	"GH"	404.00	311.81	77.18	82.71	-5.53
"03"	"1360"	"050"	"BERGEN    "	"EMERSON"	"EMERSON JR.-SR. H.S."	"GH"	156.00	141.96	91.00	82.71	8.28
"03"	"1360"	"060"	"BERGEN    "	"EMERSON"	"PATRICK M. VILLANO       "	"GH"	803.00	724.93	90.27	82.71	7.56
"03"	"1370"	"   "	"BERGEN    "	"ENGLEWOOD CITY"	""	"DE"	2957.00	1774.06	59.99	75.81	-15.81
"03"	"1370"	"040"	"BERGEN    "	"ENGLEWOOD CITY"	"DWIGHT MORROW H.S."	"DE"	458.00	342.99	74.88	75.81	-0.92
"03"	"1370"	"060"	"BERGEN    "	"ENGLEWOOD CITY"	"CLEVELAND                "	"DE"	1319.00	819.92	62.16	75.81	-13.65
"03"	"1370"	"076"	"BERGEN    "	"ENGLEWOOD CITY"	"J.E. DISMUS MIDDLE       "	"DE"	812.00	357.22	43.99	75.81	-31.82
"03"	"1370"	"086"	"BERGEN    "	"ENGLEWOOD CITY"	"DR. J. GRIECO E.S."	"DE"	368.00	253.92	69.00	75.81	-6.81
"03"	"1380"	"   "	"BERGEN    "	"ENGLEWOOD CLIFFS BORO"	""	"I "	601.00	556.02	92.51	87.55	4.96
"03"	"1380"	"060"	"BERGEN    "	"ENGLEWOOD CLIFFS BORO"	"UPPER SCHOOL             "	"I "	601.00	556.02	92.51	87.55	4.96
"03"	"1450"	"   "	"BERGEN    "	"FAIR LAWN"	""	"GH"	5445.00	4750.61	87.24	82.71	4.53
"03"	"1450"	"050"	"BERGEN    "	"FAIR LAWN"	"FAIR LAWN H.S."	"GH"	805.00	763.15	94.80	82.71	12.09
"03"	"1450"	"060"	"BERGEN    "	"FAIR LAWN"	"THOMAS JEFFERSON MIDDLE  "	"GH"	1361.00	1168.19	85.83	82.71	3.12
"03"	"1450"	"070"	"BERGEN    "	"FAIR LAWN"	"MEMORIAL MIDDLE SCHOOL   "	"GH"	870.00	708.04	81.38	82.71	-1.32
"03"	"1450"	"080"	"BERGEN    "	"FAIR LAWN"	"HENRY B. MILNES          "	"GH"	422.00	394.99	93.60	82.71	10.88
"03"	"1450"	"085"	"BERGEN    "	"FAIR LAWN"	"JOHN A. FORREST          "	"GH"	314.00	249.00	79.29	82.71	-3.41
"03"	"1450"	"100"	"BERGEN    "	"FAIR LAWN"	"LYNCREST                 "	"GH"	301.00	284.92	94.66	82.71	11.94
"03"	"1450"	"110"	"BERGEN    "	"FAIR LAWN"	"RADBURN                  "	"GH"	395.00	364.88	92.37	82.71	9.66
"03"	"1450"	"140"	"BERGEN    "	"FAIR LAWN"	"WARREN POINT             "	"GH"	602.00	510.88	84.86	82.71	2.15
"03"	"1450"	"160"	"BERGEN    "	"FAIR LAWN"	"WESTMORELAND             "	"GH"	374.00	305.95	81.80	82.71	-0.90
"03"	"1470"	"   "	"BERGEN    "	"FAIRVIEW BORO"	""	"A "	1500.00	988.94	65.92	51.53	14.39
"03"	"1470"	"060"	"BERGEN    "	"FAIRVIEW BORO"	"LINCOLN                  "	"A "	1254.00	854.87	68.17	51.53	16.63
"03"	"1470"	"080"	"BERGEN    "	"FAIRVIEW BORO"	"NUMBER 3 E.S. "	"A "	240.00	132.96	55.40	51.53	3.86
"03"	"1550"	"   "	"BERGEN    "	"FORT LEE"	""	"FG"	4173.00	3565.70	85.44	78.80	6.64
"03"	"1550"	"050"	"BERGEN    "	"FORT LEE"	"FORT LEE H.S."	"FG"	484.00	435.22	89.92	78.80	11.11
"03"	"1550"	"060"	"BERGEN    "	"FORT LEE"	"NUMBER 1                 "	"FG"	729.00	655.92	89.97	78.80	11.17
"03"	"1550"	"070"	"BERGEN    "	"FORT LEE"	"NUMBER 2                 "	"FG"	528.00	406.98	77.08	78.80	-1.72
"03"	"1550"	"080"	"BERGEN    "	"FORT LEE"	"NUMBER 3                 "	"FG"	631.00	550.00	87.16	78.80	8.36
"03"	"1550"	"090"	"BERGEN    "	"FORT LEE"	"NUMBER 4                 "	"FG"	688.00	625.09	90.85	78.80	12.05
"03"	"1550"	"100"	"BERGEN    "	"FORT LEE"	"LEWIS F. COLE MIDDLE     "	"FG"	1107.00	890.69	80.46	78.80	1.65
"03"	"1580"	"   "	"BERGEN    "	"FRANKLIN LAKES BORO"	""	"I "	2095.00	1857.94	88.68	87.55	1.13
"03"	"1580"	"015"	"BERGEN    "	"FRANKLIN LAKES BORO"	"FRANKLIN AVE MIDDLE SCH  "	"I "	1019.00	898.04	88.12	87.55	0.57
"03"	"1580"	"020"	"BERGEN    "	"FRANKLIN LAKES BORO"	"HIGH MOUNTAIN ROAD       "	"I "	318.00	296.02	93.08	87.55	5.53
"03"	"1580"	"030"	"BERGEN    "	"FRANKLIN LAKES BORO"	"WOODSIDE AVE             "	"I "	378.00	319.03	84.40	87.55	-3.15
"03"	"1580"	"040"	"BERGEN    "	"FRANKLIN LAKES BORO"	"COLONIAL ROAD SCHOOL     "	"I "	380.00	345.08	90.81	87.55	3.25
"03"	"1700"	"   "	"BERGEN    "	"GARFIELD"	""	"B "	4911.00	3351.76	68.25	63.76	4.48
"03"	"1700"	"050"	"BERGEN    "	"GARFIELD"	"GARFIELD H.S."	"B "	578.00	445.06	77.00	63.76	13.23
