"ID"	"grade"	"cnty"	"dist"	"schl"	"cntyname"	"distname"	"schlname"	"DFG"	"valscllang"	"pplang"	"plang"	"aplang"	"mnscllang"	"paplang"	"paplangnum"	"valsclmath"	"ppmath"	"pmath"	"apmath"	"mnsclmath"	"papmath"	"papmathnum"	"valsclsci"	"ppsci"	"psci"	"apsci"	"mnsclsci"	"papsci"	"papscinum"	"ttltstd"	"ttlpapnam"
11	"11"	"01"	"1790"	"040"	"ATLANTIC"	"GREATER EGG HARBOR REGION"	"ABSEGAMI H.S."	"CD"	"449"	"5.1"	"74.6"	"20.3"	"234.5"	94.90	426.10	"449"	"20.7"	"55.9"	"23.4"	"224.6"	79.30	356.05	""	""	""					898.00	782.15
12	"11"	"01"	"1790"	"   "	"ATLANTIC"	"GREATER EGG HARBOR REGION"	""	"CD"	"875"	"7.0"	"73.8"	"19.2"	"232.1"	93.00	813.75	"875"	"24.8"	"55.2"	"20.0"	"220.7"	75.20	658.00	""	""	""					1750.00	1471.75
13	"11"	"01"	"1960"	"   "	"ATLANTIC"	"HAMMONTON TOWN"	""	"B "	"352"	"10.8"	"69.3"	"19.9"	"231.3"	89.20	313.98	"350"	"22.9"	"56.6"	"20.6"	"222.0"	77.20	270.20	""	""	""					702.00	584.18
14	"11"	"01"	"1960"	"050"	"ATLANTIC"	"HAMMONTON TOWN"	"HAMMONTON H.S."	"B "	"352"	"10.8"	"69.3"	"19.9"	"231.3"	89.20	313.98	"350"	"22.9"	"56.6"	"20.6"	"222.0"	77.20	270.20	""	""	""					702.00	584.18
15	"11"	"01"	"2910"	"   "	"ATLANTIC"	"MAINLAND REGIONAL"	""	"DE"	"362"	"3.6"	"71.5"	"24.9"	"235.9"	96.40	348.96	"363"	"13.8"	"54.8"	"31.4"	"231.2"	86.20	312.90	""	""	""					725.00	661.87
16	"11"	"01"	"2910"	"050"	"ATLANTIC"	"MAINLAND REGIONAL"	"MAINLAND REGIONAL"	"DE"	"362"	"3.6"	"71.5"	"24.9"	"235.9"	96.40	348.96	"363"	"13.8"	"54.8"	"31.4"	"231.2"	86.20	312.90	""	""	""					725.00	661.87
17	"11"	"01"	"4180"	"   "	"ATLANTIC"	"PLEASANTVILLE"	""	"A "	"212"	"31.1"	"68.9"	"0.0"	"207.8"	68.90	146.06	"213"	"62.4"	"35.2"	"2.3"	"191.6"	37.50	79.87	""	""	""					425.00	225.94
18	"11"	"01"	"4180"	"050"	"ATLANTIC"	"PLEASANTVILLE"	"PLEASANTVILLE H.S."	"A "	"212"	"31.1"	"68.9"	"0.0"	"207.8"	68.90	146.06	"213"	"62.4"	"35.2"	"2.3"	"191.6"	37.50	79.87	""	""	""					425.00	225.94
19	"11"	"03"	"0290"	"070"	"BERGEN    "	"BERGEN COUNTY TECHNICAL S"	"BERGEN COUNTY TECHNICAL"	"V "	"155"	"0.0"	"34.2"	"65.8"	"252.4"	100.00	155.00	"155"	"0.6"	"29.0"	"70.3"	"253.0"	99.30	153.91	""	""	""					310.00	308.91
20	"11"	"03"	"0290"	"020"	"BERGEN    "	"BERGEN COUNTY TECHNICAL S"	"BERGEN COUNTY ACADEMIES"	"V "	"255"	"0.0"	"13.7"	"86.3"	"257.7"	100.00	255.00	"255"	"0.0"	"2.7"	"97.3"	"267.0"	100.00	255.00	""	""	""					510.00	510.00
21	"11"	"03"	"0290"	"   "	"BERGEN    "	"BERGEN COUNTY TECHNICAL S"	""	"V "	"486"	"4.5"	"29.2"	"66.3"	"248.4"	95.50	464.13	"486"	"8.2"	"18.3"	"73.5"	"251.6"	91.80	446.14	""	""	""					972.00	910.27
22	"11"	"03"	"0290"	"030"	"BERGEN    "	"BERGEN COUNTY TECHNICAL S"	"BERGEN COUNTY VOCATIONAL HIGH"	"V "	"76"	"28.9"	"71.1"	"0.0"	"209.5"	71.10	54.03	"76"	"51.3"	"48.7"	"0.0"	"197.2"	48.70	37.01	""	""	""					152.00	91.04
23	"11"	"03"	"0300"	"   "	"BERGEN    "	"BERGENFIELD"	""	"FG"	"315"	"7.3"	"76.5"	"16.2"	"231.2"	92.70	292.00	"315"	"13.7"	"63.8"	"22.5"	"228.2"	86.30	271.84	""	""	""					630.00	563.85
24	"11"	"03"	"0300"	"020"	"BERGEN    "	"BERGENFIELD"	"BERGENFIELD H.S."	"FG"	"315"	"7.3"	"76.5"	"16.2"	"231.2"	92.70	292.00	"315"	"13.7"	"63.8"	"22.5"	"228.2"	86.30	271.84	""	""	""					630.00	563.85
25	"11"	"03"	"0440"	"   "	"BERGEN    "	"BOGOTA"	""	"DE"	"98"	"6.1"	"89.8"	"4.1"	"226.9"	93.90	92.02	"98"	"28.6"	"63.3"	"8.2"	"212.3"	71.50	70.07	""	""	""					196.00	162.09
26	"11"	"03"	"0440"	"020"	"BERGEN    "	"BOGOTA"	"BOGOTA HIGH SCHOOL"	"DE"	"98"	"6.1"	"89.8"	"4.1"	"226.9"	93.90	92.02	"98"	"28.6"	"63.3"	"8.2"	"212.3"	71.50	70.07	""	""	""					196.00	162.09
27	"11"	"03"	"0745"	"   "	"BERGEN    "	"CARLSTADT-EAST RUTHERFORD"	""	"CD"	"119"	"7.6"	"79.8"	"12.6"	"229.4"	92.40	109.95	"119"	"27.7"	"52.1"	"20.2"	"218.0"	72.30	86.03	""	""	""					238.00	195.99
28	"11"	"03"	"0745"	"050"	"BERGEN    "	"CARLSTADT-EAST RUTHERFORD"	"HENRY P. BECTON REGIONAL"	"CD"	"119"	"7.6"	"79.8"	"12.6"	"229.4"	92.40	109.95	"119"	"27.7"	"52.1"	"20.2"	"218.0"	72.30	86.03	""	""	""					238.00	195.99
29	"11"	"03"	"0890"	"   "	"BERGEN    "	"CLIFFSIDE PARK"	""	"B "	"214"	"13.1"	"80.4"	"6.5"	"225.3"	86.90	185.96	"213"	"26.3"	"59.6"	"14.1"	"218.3"	73.70	156.98	""	""	""					427.00	342.94
30	"11"	"03"	"0890"	"030"	"BERGEN    "	"CLIFFSIDE PARK"	"CLIFFSIDE PARK H.S."	"B "	"214"	"13.1"	"80.4"	"6.5"	"225.3"	86.90	185.96	"213"	"26.3"	"59.6"	"14.1"	"218.3"	73.70	156.98	""	""	""					427.00	342.94
31	"11"	"03"	"0990"	"   "	"BERGEN    "	"CRESSKILL"	""	"I "	"123"	"1.6"	"57.7"	"40.7"	"244.1"	98.40	121.03	"124"	"4.0"	"57.3"	"38.7"	"241.1"	96.00	119.04	""	""	""					247.00	240.07
32	"11"	"03"	"0990"	"040"	"BERGEN    "	"CRESSKILL"	"CRESSKILL H.S."	"I "	"123"	"1.6"	"57.7"	"40.7"	"244.1"	98.40	121.03	"124"	"4.0"	"57.3"	"38.7"	"241.1"	96.00	119.04	""	""	""					247.00	240.07
33	"11"	"03"	"1130"	"   "	"BERGEN    "	"DUMONT"	""	"FG"	"250"	"3.2"	"74.0"	"22.8"	"236.7"	96.80	242.00	"250"	"13.6"	"50.4"	"36.0"	"233.7"	86.40	216.00	""	""	""					500.00	458.00
34	"11"	"03"	"1130"	"040"	"BERGEN    "	"DUMONT"	"DUMONT HIGH SCHOOL"	"FG"	"250"	"3.2"	"74.0"	"22.8"	"236.7"	96.80	242.00	"250"	"13.6"	"50.4"	"36.0"	"233.7"	86.40	216.00	""	""	""					500.00	458.00
35	"11"	"03"	"1345"	"   "	"BERGEN    "	"ELMWOOD PARK"	""	"CD"	"169"	"11.2"	"78.7"	"10.1"	"225.8"	88.80	150.07	"170"	"37.1"	"42.9"	"20.0"	"214.8"	62.90	106.93	""	""	""					339.00	257.00
36	"11"	"03"	"1345"	"050"	"BERGEN    "	"ELMWOOD PARK"	"MEMORIAL HIGH SCHOOL"	"CD"	"169"	"11.2"	"78.7"	"10.1"	"225.8"	88.80	150.07	"170"	"37.1"	"42.9"	"20.0"	"214.8"	62.90	106.93	""	""	""					339.00	257.00
37	"11"	"03"	"1360"	"   "	"BERGEN    "	"EMERSON"	""	"GH"	"78"	"2.6"	"76.9"	"20.5"	"237.8"	97.40	75.97	"78"	"15.4"	"67.9"	"16.7"	"224.7"	84.60	65.98	""	""	""					156.00	141.96
38	"11"	"03"	"1360"	"050"	"BERGEN    "	"EMERSON"	"EMERSON JR.-SR. H.S."	"GH"	"78"	"2.6"	"76.9"	"20.5"	"237.8"	97.40	75.97	"78"	"15.4"	"67.9"	"16.7"	"224.7"	84.60	65.98	""	""	""					156.00	141.96
39	"11"	"03"	"1370"	"   "	"BERGEN    "	"ENGLEWOOD CITY"	""	"DE"	"230"	"16.1"	"60.9"	"23.0"	"225.8"	83.90	192.97	"228"	"34.2"	"43.0"	"22.8"	"216.3"	65.80	150.02	""	""	""					458.00	342.99
40	"11"	"03"	"1370"	"040"	"BERGEN    "	"ENGLEWOOD CITY"	"DWIGHT MORROW H.S."	"DE"	"230"	"16.1"	"60.9"	"23.0"	"225.8"	83.90	192.97	"228"	"34.2"	"43.0"	"22.8"	"216.3"	65.80	150.02	""	""	""					458.00	342.99
41	"11"	"03"	"1450"	"   "	"BERGEN    "	"FAIR LAWN"	""	"GH"	"403"	"3.7"	"69.5"	"26.8"	"238.3"	96.30	388.08	"402"	"6.7"	"53.5"	"39.8"	"238.0"	93.30	375.06	""	""	""					805.00	763.15
42	"11"	"03"	"1450"	"050"	"BERGEN    "	"FAIR LAWN"	"FAIR LAWN H.S."	"GH"	"403"	"3.7"	"69.5"	"26.8"	"238.3"	96.30	388.08	"402"	"6.7"	"53.5"	"39.8"	"238.0"	93.30	375.06	""	""	""					805.00	763.15
43	"11"	"03"	"1550"	"   "	"BERGEN    "	"FORT LEE"	""	"FG"	"243"	"4.9"	"67.1"	"28.0"	"237.4"	95.10	231.09	"241"	"15.4"	"49.0"	"35.7"	"232.1"	84.70	204.12	""	""	""					484.00	435.22
44	"11"	"03"	"1550"	"050"	"BERGEN    "	"FORT LEE"	"FORT LEE H.S."	"FG"	"243"	"4.9"	"67.1"	"28.0"	"237.4"	95.10	231.09	"241"	"15.4"	"49.0"	"35.7"	"232.1"	84.70	204.12	""	""	""					484.00	435.22
45	"11"	"03"	"1700"	"   "	"BERGEN    "	"GARFIELD"	""	"B "	"289"	"11.1"	"83.4"	"5.5"	"222.9"	88.90	256.92	"289"	"34.9"	"57.1"	"8.0"	"210.7"	65.10	188.13	""	""	""					578.00	445.06
46	"11"	"03"	"1700"	"050"	"BERGEN    "	"GARFIELD"	"GARFIELD H.S."	"B "	"289"	"11.1"	"83.4"	"5.5"	"222.9"	88.90	256.92	"289"	"34.9"	"57.1"	"8.0"	"210.7"	65.10	188.13	""	""	""					578.00	445.06
47	"11"	"03"	"1760"	"   "	"BERGEN    "	"GLEN ROCK"	""	"J "	"177"	"4.0"	"61.0"	"35.0"	"238.7"	96.00	169.92	"177"	"9.6"	"40.7"	"49.7"	"241.3"	90.40	160.00	""	""	""					354.00	329.92
48	"11"	"03"	"1760"	"050"	"BERGEN    "	"GLEN ROCK"	"GLEN ROCK HIGH SCHOOL"	"J "	"177"	"4.0"	"61.0"	"35.0"	"238.7"	96.00	169.92	"177"	"9.6"	"40.7"	"49.7"	"241.3"	90.40	160.00	""	""	""					354.00	329.92
49	"11"	"03"	"1860"	"   "	"BERGEN    "	"HACKENSACK"	""	"CD"	"381"	"16.0"	"71.1"	"12.9"	"224.2"	84.00	320.04	"380"	"21.8"	"63.4"	"14.7"	"219.5"	78.10	296.78	""	""	""					761.00	616.82
50	"11"	"03"	"1860"	"050"	"BERGEN    "	"HACKENSACK"	"HACKENSACK H.S."	"CD"	"381"	"16.0"	"71.1"	"12.9"	"224.2"	84.00	320.04	"380"	"21.8"	"63.4"	"14.7"	"219.5"	78.10	296.78	""	""	""					761.00	616.82
51	"11"	"03"	"2080"	"   "	"BERGEN    "	"HASBROUCK HEIGHTS"	""	"FG"	"145"	"3.4"	"76.6"	"20.0"	"235.0"	96.60	140.07	"145"	"10.3"	"57.9"	"31.7"	"234.3"	89.60	129.92	""	""	""					290.00	269.99
52	"11"	"03"	"2080"	"050"	"BERGEN    "	"HASBROUCK HEIGHTS"	"HASBROUCK HEIGHTS H.S."	"FG"	"145"	"3.4"	"76.6"	"20.0"	"235.0"	96.60	140.07	"145"	"10.3"	"57.9"	"31.7"	"234.3"	89.60	129.92	""	""	""					290.00	269.99
53	"11"	"03"	"2620"	"   "	"BERGEN    "	"LEONIA"	""	"GH"	"162"	"4.3"	"69.8"	"25.9"	"237.0"	95.70	155.03	"161"	"16.1"	"46.0"	"37.9"	"233.1"	83.90	135.07	""	""	""					323.00	290.11
54	"11"	"03"	"2620"	"050"	"BERGEN    "	"LEONIA"	"LEONIA H.S."	"GH"	"162"	"4.3"	"69.8"	"25.9"	"237.0"	95.70	155.03	"161"	"16.1"	"46.0"	"37.9"	"233.1"	83.90	135.07	""	""	""					323.00	290.11
55	"11"	"03"	"2740"	"   "	"BERGEN    "	"LODI"	""	"B "	"225"	"16.9"	"77.8"	"5.3"	"220.4"	83.10	186.97	"224"	"32.6"	"56.7"	"10.7"	"211.9"	67.40	150.97	""	""	""					449.00	337.95
56	"11"	"03"	"2740"	"050"	"BERGEN    "	"LODI"	"LODI H.S."	"B "	"225"	"16.9"	"77.8"	"5.3"	"220.4"	83.10	186.97	"224"	"32.6"	"56.7"	"10.7"	"211.9"	67.40	150.97	""	""	""					449.00	337.95
57	"11"	"03"	"2860"	"   "	"BERGEN    "	"LYNDHURST TOWNSHIP"	""	"DE"	"138"	"5.1"	"83.3"	"11.6"	"231.2"	94.90	130.96	"138"	"14.5"	"68.1"	"17.4"	"225.9"	85.50	117.99	""	""	""					276.00	248.95
58	"11"	"03"	"2860"	"050"	"BERGEN    "	"LYNDHURST TOWNSHIP"	"LYNDHURST H.S."	"DE"	"138"	"5.1"	"83.3"	"11.6"	"231.2"	94.90	130.96	"138"	"14.5"	"68.1"	"17.4"	"225.9"	85.50	117.99	""	""	""					276.00	248.95
59	"11"	"03"	"2900"	"   "	"BERGEN    "	"MAHWAH TOWNSHIP"	""	"I "	"244"	"1.6"	"53.3"	"45.1"	"245.0"	98.40	240.09	"246"	"7.7"	"40.7"	"51.6"	"242.9"	92.30	227.05	""	""	""					490.00	467.15
60	"11"	"03"	"2900"	"050"	"BERGEN    "	"MAHWAH TOWNSHIP"	"MAHWAH H.S."	"I "	"244"	"1.6"	"53.3"	"45.1"	"245.0"	98.40	240.09	"246"	"7.7"	"40.7"	"51.6"	"242.9"	92.30	227.05	""	""	""					490.00	467.15
61	"11"	"03"	"3170"	"   "	"BERGEN    "	"MIDLAND PARK BOROUGH"	""	"GH"	"97"	"7.2"	"67.0"	"25.8"	"236.1"	92.80	90.01	"97"	"18.6"	"50.5"	"30.9"	"226.5"	81.40	78.95	""	""	""					194.00	168.97
62	"11"	"03"	"3170"	"050"	"BERGEN    "	"MIDLAND PARK BOROUGH"	"MIDLAND PARK HIGH SCHOOL"	"GH"	"97"	"7.2"	"67.0"	"25.8"	"236.1"	92.80	90.01	"97"	"18.6"	"50.5"	"30.9"	"226.5"	81.40	78.95	""	""	""					194.00	168.97
63	"11"	"03"	"3550"	"   "	"BERGEN    "	"NEW MILFORD"	""	"FG"	"166"	"8.4"	"69.3"	"22.3"	"232.7"	91.60	152.05	"166"	"23.5"	"55.4"	"21.1"	"223.2"	76.50	126.99	""	""	""					332.00	279.04
64	"11"	"03"	"3550"	"050"	"BERGEN    "	"NEW MILFORD"	"NEW MILFORD H.S."	"FG"	"166"	"8.4"	"69.3"	"22.3"	"232.7"	91.60	152.05	"166"	"23.5"	"55.4"	"21.1"	"223.2"	76.50	126.99	""	""	""					332.00	279.04
65	"11"	"03"	"3600"	"   "	"BERGEN    "	"NORTH ARLINGTON"	""	"DE"	"124"	"5.6"	"83.9"	"10.5"	"229.4"	94.40	117.05	"124"	"25.0"	"69.4"	"5.6"	"215.0"	75.00	93.00	""	""	""					248.00	210.05
66	"11"	"03"	"3600"	"050"	"BERGEN    "	"NORTH ARLINGTON"	"NORTH ARLINGTON H.S."	"DE"	"124"	"5.6"	"83.9"	"10.5"	"229.4"	94.40	117.05	"124"	"25.0"	"69.4"	"5.6"	"215.0"	75.00	93.00	""	""	""					248.00	210.05
67	"11"	"03"	"3700"	"   "	"BERGEN    "	"NORTHERN HIGHLANDS REG"	""	"J "	"323"	"0.6"	"56.7"	"42.7"	"245.8"	99.40	321.06	"323"	"5.0"	"40.9"	"54.2"	"245.3"	95.10	307.17	""	""	""					646.00	628.23
68	"11"	"03"	"3700"	"050"	"BERGEN    "	"NORTHERN HIGHLANDS REG"	"NORTHERN HIGHLANDS REG. H"	"J "	"323"	"0.6"	"56.7"	"42.7"	"245.8"	99.40	321.06	"323"	"5.0"	"40.9"	"54.2"	"245.3"	95.10	307.17	""	""	""					646.00	628.23
69	"11"	"03"	"3710"	"050"	"BERGEN    "	"NORTHERN VALLEY REGIONAL"	"N VALLEY REG H DEMAREST"	"I "	"301"	"0.7"	"54.5"	"44.9"	"244.5"	99.40	299.19	"301"	"4.3"	"40.5"	"55.1"	"245.3"	95.60	287.75	""	""	""					602.00	586.95
70	"11"	"03"	"3710"	"060"	"BERGEN    "	"NORTHERN VALLEY REGIONAL"	"N VALLEY REG H OLD TAPPAN"	"I "	"323"	"1.5"	"64.1"	"34.4"	"241.7"	98.50	318.15	"322"	"6.2"	"43.8"	"50.0"	"242.9"	93.80	302.03	""	""	""					645.00	620.19
71	"11"	"03"	"3710"	"   "	"BERGEN    "	"NORTHERN VALLEY REGIONAL"	""	"I "	"624"	"1.1"	"59.5"	"39.4"	"243.1"	98.90	617.13	"623"	"5.3"	"42.2"	"52.5"	"244.1"	94.70	589.98	""	""	""					1247.00	1207.11
72	"11"	"03"	"3910"	"   "	"BERGEN    "	"PALISADES PARK"	""	"CD"	"101"	"10.9"	"81.2"	"7.9"	"223.0"	89.10	89.99	"101"	"28.7"	"55.4"	"15.8"	"216.2"	71.20	71.91	""	""	""					202.00	161.90
73	"11"	"03"	"3910"	"050"	"BERGEN    "	"PALISADES PARK"	"PALISADES PARK H.S."	"CD"	"101"	"10.9"	"81.2"	"7.9"	"223.0"	89.10	89.99	"101"	"28.7"	"55.4"	"15.8"	"216.2"	71.20	71.91	""	""	""					202.00	161.90
74	"11"	"03"	"3930"	"   "	"BERGEN    "	"PARAMUS"	""	"GH"	"333"	"5.1"	"67.3"	"27.6"	"238.1"	94.90	316.01	"332"	"10.2"	"49.4"	"40.4"	"236.1"	89.80	298.13	""	""	""					665.00	614.15
75	"11"	"03"	"3930"	"050"	"BERGEN    "	"PARAMUS"	"PARAMUS HIGH SCHOOL"	"GH"	"333"	"5.1"	"67.3"	"27.6"	"238.1"	94.90	316.01	"332"	"10.2"	"49.4"	"40.4"	"236.1"	89.80	298.13	""	""	""					665.00	614.15
76	"11"	"03"	"3940"	"   "	"BERGEN    "	"PARK RIDGE"	""	"I "	"93"	"4.3"	"58.1"	"37.6"	"239.6"	95.70	89.00	"93"	"8.6"	"52.7"	"38.7"	"235.8"	91.40	85.00	""	""	""					186.00	174.00
77	"11"	"03"	"3940"	"050"	"BERGEN    "	"PARK RIDGE"	"PARK RIDGE H.S."	"I "	"93"	"4.3"	"58.1"	"37.6"	"239.6"	95.70	89.00	"93"	"8.6"	"52.7"	"38.7"	"235.8"	91.40	85.00	""	""	""					186.00	174.00
78	"11"	"03"	"3960"	"040"	"BERGEN    "	"PASCACK VALLEY REG"	"PASCACK HILLS H.S."	"I "	"210"	"2.4"	"61.0"	"36.7"	"243.1"	97.70	205.17	"210"	"5.7"	"47.1"	"47.1"	"242.3"	94.20	197.82	""	""	""					420.00	402.99
79	"11"	"03"	"3960"	"050"	"BERGEN    "	"PASCACK VALLEY REG"	"PASCACK VALLEY H.S."	"I "	"311"	"3.9"	"70.4"	"25.7"	"237.9"	96.10	298.87	"309"	"7.1"	"45.6"	"47.2"	"241.0"	92.80	286.75	""	""	""					620.00	585.62
80	"11"	"03"	"3960"	"   "	"BERGEN    "	"PASCACK VALLEY REG"	""	"I "	"521"	"3.3"	"66.6"	"30.1"	"240.0"	96.70	503.80	"519"	"6.6"	"46.2"	"47.2"	"241.5"	93.40	484.74	""	""	""					1040.00	988.55
81	"11"	"03"	"4300"	"050"	"BERGEN    "	"RAMAPO INDIAN HILLS REGIO"	"RAMAPO H.S."	"I "	"293"	"1.4"	"68.6"	"30.0"	"240.2"	98.60	288.89	"293"	"8.9"	"45.7"	"45.4"	"239.4"	91.10	266.92	""	""	""					586.00	555.82
82	"11"	"03"	"4300"	"030"	"BERGEN    "	"RAMAPO INDIAN HILLS REGIO"	"INDIAN HILLS H.S."	"I "	"304"	"2.3"	"55.3"	"42.4"	"244.5"	97.70	297.00	"303"	"8.9"	"46.9"	"44.2"	"239.2"	91.10	276.03	""	""	""					607.00	573.04
83	"11"	"03"	"4300"	"   "	"BERGEN    "	"RAMAPO INDIAN HILLS REGIO"	""	"I "	"597"	"1.8"	"61.8"	"36.3"	"242.4"	98.10	585.65	"596"	"8.9"	"46.3"	"44.8"	"239.3"	91.10	542.95	""	""	""					1193.00	1128.61
84	"11"	"03"	"4310"	"   "	"BERGEN    "	"RAMSEY"	""	"I "	"242"	"2.1"	"57.4"	"40.5"	"244.0"	97.90	236.91	"243"	"6.2"	"55.1"	"38.7"	"239.5"	93.80	227.93	""	""	""					485.00	464.85
85	"11"	"03"	"4310"	"050"	"BERGEN    "	"RAMSEY"	"RAMSEY H.S."	"I "	"242"	"2.1"	"57.4"	"40.5"	"244.0"	97.90	236.91	"243"	"6.2"	"55.1"	"38.7"	"239.5"	93.80	227.93	""	""	""					485.00	464.85
86	"11"	"03"	"4370"	"   "	"BERGEN    "	"RIDGEFIELD"	""	"DE"	"139"	"13.7"	"74.8"	"11.5"	"227.4"	86.30	119.95	"139"	"24.5"	"53.2"	"22.3"	"221.4"	75.50	104.94	""	""	""					278.00	224.90
87	"11"	"03"	"4370"	"050"	"BERGEN    "	"RIDGEFIELD"	"RIDGEFIELD MEMORIAL H.S."	"DE"	"139"	"13.7"	"74.8"	"11.5"	"227.4"	86.30	119.95	"139"	"24.5"	"53.2"	"22.3"	"221.4"	75.50	104.94	""	""	""					278.00	224.90
88	"11"	"03"	"4380"	"   "	"BERGEN    "	"RIDGEFIELD PARK"	""	"DE"	"229"	"3.5"	"76.4"	"20.1"	"233.3"	96.50	220.98	"229"	"17.9"	"60.7"	"21.4"	"224.9"	82.10	188.00	""	""	""					458.00	408.99
89	"11"	"03"	"4380"	"050"	"BERGEN    "	"RIDGEFIELD PARK"	"RIDGEFIELD PARK H.S."	"DE"	"229"	"3.5"	"76.4"	"20.1"	"233.3"	96.50	220.98	"229"	"17.9"	"60.7"	"21.4"	"224.9"	82.10	188.00	""	""	""					458.00	408.99
90	"11"	"03"	"4390"	"   "	"BERGEN    "	"RIDGEWOOD VILLAGE"	""	"J "	"409"	"3.2"	"57.0"	"39.9"	"242.5"	96.90	396.32	"409"	"8.6"	"32.8"	"58.7"	"245.2"	91.50	374.23	""	""	""					818.00	770.55
91	"11"	"03"	"4390"	"050"	"BERGEN    "	"RIDGEWOOD VILLAGE"	"RIDGEWOOD H.S."	"J "	"409"	"3.2"	"57.0"	"39.9"	"242.5"	96.90	396.32	"409"	"8.6"	"32.8"	"58.7"	"245.2"	91.50	374.23	""	""	""					818.00	770.55
92	"11"	"03"	"4405"	"   "	"BERGEN    "	"RIVER DELL REGIONAL SCHOO"	""	"I "	"264"	"3.0"	"66.7"	"30.3"	"239.0"	97.00	256.08	"263"	"9.9"	"51.0"	"39.2"	"236.5"	90.20	237.22	""	""	""					527.00	493.30
93	"11"	"03"	"4405"	"050"	"BERGEN    "	"RIVER DELL REGIONAL SCHOO"	"RIVER DELL SR. H.S."	"I "	"264"	"3.0"	"66.7"	"30.3"	"239.0"	97.00	256.08	"263"	"9.9"	"51.0"	"39.2"	"236.5"	90.20	237.22	""	""	""					527.00	493.30
94	"11"	"03"	"4600"	"   "	"BERGEN    "	"RUTHERFORD"	""	"GH"	"181"	"3.9"	"73.5"	"22.7"	"236.0"	96.20	174.12	"180"	"10.0"	"58.9"	"31.1"	"231.3"	90.00	162.00	""	""	""					361.00	336.12
95	"11"	"03"	"4600"	"050"	"BERGEN    "	"RUTHERFORD"	"RUTHERFORD H.S."	"GH"	"181"	"3.9"	"73.5"	"22.7"	"236.0"	96.20	174.12	"180"	"10.0"	"58.9"	"31.1"	"231.3"	90.00	162.00	""	""	""					361.00	336.12
